Section,Discription,Bail,Punishment,Triable_By,Congizance,Unnamed: 7,Offence
IPC Section 141,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 142,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 143,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable,,Being member of an unlawful assembly
IPC Section 144,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,Joining an unlawful assembly armed with any deadly weapon
IPC Section 145,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,"Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse"
IPC Section 146,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 147,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,Rioting
IPC Section 171E,"Whoever commits the offence of bribery shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both;",Non-Cognizable,Bribery,Bailable,"1 Year or Fine or Both, or if treating only, fine only",,Provided that bribery by treating shall be punished with fine only.
IPC Section 171F,"Whoever commits the offence of undue influence or personation at an election shall be punished with imprisonment of either description for a term which may extend to one year or with fine, or with both.","
Bailable
Bailable
","
1 Year or Fine or Both
1 Year or Fine or Both
","
Magistrate First Class
Magistrate First Class
","
Non-Cognizable
Cognizable
",,"
Undue influence at an election
Personation at an election
"
IPC Section 171G,"Whoever with intent to affect the result of an election makes or publishes any statement purporting to be a statement of fact which is false and which he either knows or believes to be false or does not believe to be true, in relation to the personal character or conduct of any candidate shall be punished with fine.",Bailable,Fine,Magistrate First Class,Non-Cognizable,,False statement in connection with an election
IPC Section 171H,"Whoever without the general or special authority in writing of a candidate incurs or authorizes expenses on account of the holding of any public meeting, or upon any advertisement, circular or publication, or in any other way whatsoever for the purpose of promoting or procuring the election of such candidate, shall be punished with fine which may extend to five hundred rupees;",Non-Cognizable,Illegal payments in connection with elections,Bailable,Fine,,"Provided that if any person having incurred any such expenses not exceeding the amount of ten rupees without authority obtains within ten days from the date on which such expenses were incurred the approval in writing of the candidate, he shall be deemed to have incurred such expenses with the authority of the candidate."
IPC Section 171I,Whoever being required by any law for the time being in force or any rule having the force of law to keep accounts of expenses incurred at or in connection with an election fails to keep such accounts shall be punished with fine which may extend to five hundred rupees.,Bailable,Fine,Magistrate First Class,Non-Cognizable,,Failure to keep election accounts
IPC Section 172,,"
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
",,"
Absconding to avoid service of summons or other proceeding from a public servant
If summons or notice require attendance in person, etc., in a court of Justice
"
IPC Section 173,,"
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
",,"
Preventing the service or The affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation
If summons etc., require attendance in person, etc. in a court of Justice
"
IPC Section 174,"
Not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority
If the order requires personal attendance, etc., in court of Justice
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
","
Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code
In a case where declaration has been made under Sub-Section 4 of section 82 of this Code pronouncing a person as proclaimed offender
","
Bailable
Bailable
",,"
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
"
IPC Section 174A,,"
Non-Bailable
Non-Bailable
","
3 Years or Fine or Both
7 Years + Fine
","
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
",,"
Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code
In a case where declaration has been made under Sub-Section 4 of section 82 of this Code pronouncing a person as proclaimed offender
"
IPC Section 175,,"
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
","
Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate
Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate
","
Non-Cognizable
Non-Cognizable
",,"
Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document
If the document is required to be produced in or delivered to a court of Justice
"
IPC Section 176,"Whoever, being legally bound to give any notice or to furnish information on any subject to any public servant, as such, intentionally omits to give such notice or to furnish such information in the manner and at the time required by law, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;","
Bailable
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
Imprisonment for 6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
Non-Cognizable
",,"
Intentionally omitting to Give notice or information to a public servant by a person legally bound to Give such notice or information
If the notice or information required respects the commission of an offence, Etc.
If the notice or information is required by an order passed under Sub-Section 1 of section 356 of this Code
"
IPC Section 177,"Whoever, being legally bound to furnish information on any subject to any public servant, as such, furnishes, as true, information on the subject which he knows or has reason to believe to be false shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both;","
Bailable
Bailable
","
6 Months or Fine or Both
2 Years or Fine or Both
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
",,"
Knowingly furnishing false information to a public servant
If the information required respects the commission of an offence, etc.,
"
IPC Section 178,"Whoever refuses to bind himself by an oath or affirmation to state the truth, when required so to bind himself by a public servant legally competent to require that he shall so bind himself, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,Simple Imprisonment for 6 Months or Fine or Both,,Non-Cognizable,,Refusing oath when duly required to take oath by a public servant
IPC Section 179,"Whoever, being legally bound to state the truth on any subject to any public servant, refuses to answer any question demanded of him touching that subject by such public servant in the exercise of the legal powers of such public servant, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,Simple Imprisonment for 6 Months or Fine or Both,,Non-Cognizable,,"Being legally bound to state truth, and refusing to answer questions"
IPC Section 180,"Whoever refuses to sign any statement made by him, when required to sign that statement by a public servant legally competent to require that he shall sign that statement, shall be punished with simple imprisonment for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",Bailable,Simple Imprisonment for 3 Months or Fine or Both,,Non-Cognizable,,Refusing to sign statement made to a public servant when legally required to do so
IPC Section 181,"Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Bailable,3 Years + Fine,Magistrate First Class,Non-Cognizable,,"Knowingly stating to a public servant, on oath as True that which is false"
IPC Section 182,,Bailable,6 Months or Fine or Both,Any Magistrate,Non-Cognizable,,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person
IPC Section 183,"Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Non-Cognizable,,Resistance to the taking of property by the lawful authority of a public servant
IPC Section 184,"Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",Bailable,1 Month or Fine or Both,Any Magistrate,Non-Cognizable,,Obstructing sale of property offered for sale by authority of a public servant
IPC Section 185,"Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",Bailable,1 Month or Fine or Both,Any Magistrate,Non-Cognizable,,"Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby"
IPC Section 186,"Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",Bailable,3 Months or Fine or Both,Any Magistrate,Non-Cognizable; Cognizable in A.P.,,Obstructing public servant in discharge of his public functions
IPC Section 187,"Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both; and if such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.","
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
",,"
Omission to assist public servant when bound by law to give such assistance
Wilfully neglecting to aid a public servant who demands aid in the execution of process, the prevention of offences, Etc.
"
IPC Section 188,"Whoever, knowing that, by an order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management disobeys such direction, shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk of obstruction, annoyance or injury, to any persons lawfully employed, be punished with simple imprisonment for a term which may extend to one month or with fine which may extend to two hundred rupees, or with both;","
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
","
Cognizable
Cognizable
",,"
Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed
If such disobedience causes danger to human life, health or safety, etc.
"
IPC Section 193,"Whoever intentionally gives false evidence in any of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; and whoever intentionally gives or fabricates false evidence in any other case, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","
Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
","
Magistrate First Class
Any Magistrate
","
Non-Cognizable
Non-Cognizable
",,"
Giving or fabricating false evidence in a judicial proceeding
Giving or fabricating false evidence in any other case
"
IPC Section 194,"Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which is capital by the laws for the time being in force in India shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine;","
Non-Bailable
Non-Bailable
","
Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
Death or As Above
","
Court of Session
Court of Session
","
Non-Cognizable
Non-Cognizable
",,"
Giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence
If innocent person be thereby convicted and executed
"
IPC Section 201,"Whoever, knowing or having reason to believe that an offence has been committed, causes any evidence of the commission of that offence to disappear, with the intention of screening the offender from legal punishment, or with that intention gives any information respecting the offence which he knows or believes to be false;","
Bailable
Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
One-Fourth of Offence or Fine or Both
","
Court of Session
Magistrate First Class
Same As Offence
","
Non-Cognizable
Non-Cognizable
Non-Cognizable
",,"
Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, If a capital offence
If punishable with imprisonment for life or imprisonment for 10 Years
If punishable with imprisonment for less than 10 Years
"
IPC Section 202,"Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Non-Cognizable,,Intentional omission to give information of an offence by a person legally bound to inform
IPC Section 203,"Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,Giving false information respecting an offence committed
IPC Section 204,,Non-Cognizable,Secreting or destroying any document to prevent its production as evidence,Bailable,2 Years or Fine or Both,,
IPC Section 205,"Complaint for IPC Section 205
To,
The Station House Officer,
[Police Station Name],
[Address],
[City, State, ZIP Code]

Subject: Complaint for False Personation for Purpose of Act or Proceeding in Suit or Prosecution

Respected Sir/Madam,

I, [Your Name], residing at [Your Address], am filing this complaint regarding an incident that occurred on [Date of Incident] at [Time of Incident]. This incident involves false personation for the purpose of an act or proceeding in a suit or prosecution, as outlined under Section 205 of the Indian Penal Code.

Description of the Incident:
On the aforementioned date and time, I, along with several witnesses, observed an individual, identified as [Name(s) of the accused, if known], falsely personating another person for the purpose of an act or proceeding in a suit or prosecution at [location]. The accused knowingly impersonated [Name of the impersonated person] in [describe the context, e.g., signing a document, giving testimony, etc.]. This act of false personation is a serious offense [provide details of any statements made or actions observed that indicate the false personation]. Additionally, please include any pertinent contextual information such as motive, prior incidents, or any witnesses to the incident.",Bailable,3 Years or Fine or Both,Magistrate First Class,Non-Cognizable,,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security"
IPC Section 210,"Whoever fraudulently obtains a decree or order against any person for a sum not due, or for a larger sum than is due or for any property or interest in property to which he is not entitled, or fraudulently causes a decree or order to be executed against any person after it has been satisfied or for anything in respect of which it has been satisfied, or fraudulently suffers or permits any such act to be done in his name, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Magistrate First Class,Non-Cognizable,,"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied"
IPC Section 211,"Whoever, with intent to cause injury to any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely charges any person with having committed an offence, knowing that there is no just or lawful ground for such proceeding or charge against that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both;","
Bailable
Bailable
Bailable
","
2 Years or Fine or Both
7 Years + Fine
7 Years + Fine
","
Magistrate First Class
Magistrate First Class
Court of Session
","
Non-Cognizable
Non-Cognizable
Non-Cognizable
",,"
False charge of offence made with intent to injure
If offence charged be punishable with imprisonment for 7 Years or upwards
If offence charged be capital or punishable with imprisonment for life
"
IPC Section 212,"Whenever an offence has been committed, whoever harbours or conceals a person whom he knows or has reason to believe to be the offender, with the intention of screening him from legal punishment;","
Bailable
Bailable
Bailable
","
5 Years + Fine
3 Years + Fine
One-Fourth of Offence or Fine or Both
","
Magistrate First Class
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
Cognizable
",,"
Harbouring an offender, If the offence be capital
If punishable with imprisonment for life or with imprisonment for 10 Years
If punishable with imprisonment for 1 Year and not for 10 Years
"
IPC Section 213,"Whoever accepts or attempts to obtain, or agrees to accept, any gratification for himself or any other person, or any restitution of property to himself or any other person, in consideration of his concealing an offence or of his screening any person from legal punishment for any offence, or of his not proceeding against any person for the purpose of bringing him to legal punishment;","
Bailable
Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
One-Fourth of Offence or Fine or Both
","
Magistrate First Class
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
Cognizable
",,"
Taking gift, etc., to screen an offender from punishment, If the offence be capital
If punishable with imprisonment for life or with imprisonment for 10 Years
If punishable with imprisonment for less than 10 Years
"
IPC Section 214,"Whoever gives or causes, or offers or agrees to give or cause, any gratification to any person, or restores or causes the restoration of any property to any person, in consideration of that person? concealing an offence, or of his screening any person from legal punishment for any offence, or of his not proceeding against any person for the purpose of bringing him to legal punishment;","
Bailable
Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
One-Fourth of Offence or Fine or Both
","
Magistrate First Class
Magistrate First Class
Magistrate First Class
","
Cognizable
Non-Cognizable
Non-Cognizable
",,"
Offering gift or restoration of property in consideration of screening offender, If the offence be capital
If punishable with imprisonment for life or with imprisonment for 10 Years
If punishable with imprisonment for less than 10 Years
"
IPC Section 221,"Whoever, being a pubic servant, legally bound as such public servant to apprehend or to keep in confinement any person charged with or liable to be apprehended for an offence, intentionally omits to apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say:","
Bailable
Bailable
Bailable
","
7 Years with or without Fine
3 Years with or without Fine
2 Years with or without Fine
","
Magistrate First Class
Magistrate First Class
Magistrate First Class
","
Same As Offence
Cognizable
Cognizable
",,"
Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, If the offence be Capital
If punishable with imprisonment for life or imprisonment for 10 Years
If punishable with imprisonment for less than 10 Years
"
IPC Section 222,"Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person under sentence of a Court of Justice for any offence or lawfully committed to custody, intentionally omits to apprehend such person, or intentionally suffers such person to escape or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say:","
Non-Bailable
Non-Bailable
Bailable
","
Imprisonment for Life or 14 Years with or without Fine
7 Years with or without Fine
3 Years or Fine or Both
","
Court of Session
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
Cognizable
",,"
Intentional omission to apprehend on the part of A public servant bound by law to apprehend person under sentence of a court of Justice, If under sentence of death
If under sentence of imprisonment for life or imprisonment for 10 Years, or upwards
If under sentence of imprisonment for less than 10 Years of lawfully committed to custody
"
IPC Section 223,"Whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.",Bailable,Simple Imprisonment for 2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,Escape from confinement negligently suffered by a public servant
IPC Section 224,"Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody in which he is lawfully detained for any such offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,Resistance or obstruction by a person to his lawful apprehension
IPC Section 225,"Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained for an offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both;","Or, if the person to be apprehended or rescued, or attempted to be rescued, is under sentence of death, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.","Or, if the person to be apprehended or rescued, or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with death, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;",,"Or, if the person to be apprehended or rescued, or attempted to be rescued, is liable under the sentence of a Court of Justice, or by virtue of a commutation of such a sentence, to imprisonment for life, or imprisonment, for a term of ten years or upwards, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;",,"Or, if the person to be apprehended, or the person rescued or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with imprisonment for life or imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;"
IPC Section 225A,"
if he does so intentionally, with imprisonment of either description for a term which may extend to three years, or with fine or with both; and
if he does so negligently, with simple imprisonment for a term which may extend to two years, or with fine, or with both.
","
Bailable
Bailable
","
3 Years or Fine or Both
Simple Imprisonment for 2 Years or Fine or Both
","
Magistrate First Class
Any Magistrate
","
Non-Cognizable
Non-Cognizable
",,"
Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance
In case of negligent omission or sufferance
"
IPC Section 229,"Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn, or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Magistrate First Class,Non-Cognizable,,Personation of a juror or assessor
IPC Section 229A,"Whoever, having been charged with an offence and released on bail or on bond without sureties, fails without sufficient cause (the burden of proving which shall lie upon him), to appear in Court in accordance with the terms of the bail or bond, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Non-Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable,,Failure by person released on bail or bond to appear in Court
IPC Section 230,,,,,,,
IPC Section 231,"Whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Non-Bailable,7 Years + Fine,Magistrate First Class,Cognizable,,"Counterfeiting, or performing any part of the process of counterfeiting coin"
