Section,Offence,Discription,Bail,Punishment,Triable_By,Congizance
IPC Section 181,"Knowingly stating to a public servant, on oath as True that which is false","Whoever, being legally bound by an oath or affirmation to state the truth on any subject to any public servant or other person authorized by law to administer such oath or affirmation, makes, to such public servant or other person as aforesaid, touching that subject, any statement which is false, and which he either knows or believes to be false or does not believe to be true, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Bailable,3 Years + Fine,Magistrate First Class,Non-Cognizable
IPC Section 182,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,,Bailable,6 Months or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 183,Resistance to the taking of property by the lawful authority of a public servant,"Whoever offers any resistance to the taking of any property by the lawful authority of any public servant, knowing or having reason to believe that he is such public servant, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 184,Obstructing sale of property offered for sale by authority of a public servant,"Whoever intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant, as such, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",Bailable,1 Month or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 185,"Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby","Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or bids for any property on account of any person, whether himself or any other, whom he knows to be under a legal incapacity to purchase that property at that sale, or bids for such property not intending to perform the obligations under which he lays himself by such bidding, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",Bailable,1 Month or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 186,Obstructing public servant in discharge of his public functions,"Whoever voluntarily obstructs any public servant in the discharge of his public functions, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",Bailable,3 Months or Fine or Both,Any Magistrate,Non-Cognizable; Cognizable in A.P.
IPC Section 187,"
Omission to assist public servant when bound by law to give such assistance
Wilfully neglecting to aid a public servant who demands aid in the execution of process, the prevention of offences, Etc.
","Whoever, being bound by law to render or furnish assistance to any public servant in the execution of his public duty, intentionally omits to give such assistance, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both; and if such assistance be demanded of him by a public servant legally competent to make such demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with or guilty of an offence, or of having escaped from lawful custody, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.","
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
Simple Imprisonment for 6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
"
IPC Section 188,"
Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed
If such disobedience causes danger to human life, health or safety, etc.
","Whoever, knowing that, by an order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to abstain from a certain act, or to take certain order with certain property in his possession or under his management disobeys such direction, shall, if such disobedience causes or tends to cause obstruction, annoyance or injury, or risk of obstruction, annoyance or injury, to any persons lawfully employed, be punished with simple imprisonment for a term which may extend to one month or with fine which may extend to two hundred rupees, or with both;","
Bailable
Bailable
","
Simple Imprisonment for 1 Month or Fine or Both
6 Months or Fine or Both
","
Any Magistrate
Any Magistrate
","
Cognizable
Cognizable
"
IPC Section 189,"Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act","Whoever holds out any threat of injury to any public servant, or to any person in whom he believes that public servant to be interested, for the purpose of inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise of the public functions of such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable; Cognizable in A.P.
IPC Section 190,Threatening any person to induce him to refrain From making a legal application for protection From injury,"Whoever holds out any threat of injury to any person for the purpose of inducing that person to refrain or desist from making a legal application for protection against any injury to any public servant legally empowered as such to give such protection, or to cause such protection to be given, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Bailable,1 Year or Fine or Both,Any Magistrate,Non-Cognizable; Cognizable in A.P.
IPC Section 191,,,,,,
IPC Section 192,,,,,,
IPC Section 193,"
Giving or fabricating false evidence in a judicial proceeding
Giving or fabricating false evidence in any other case
","Whoever intentionally gives false evidence in any of a judicial proceeding, or fabricates false evidence for the purpose of being used in any stage of a judicial proceeding, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; and whoever intentionally gives or fabricates false evidence in any other case, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","
Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
","
Magistrate First Class
Any Magistrate
","
Non-Cognizable
Non-Cognizable
"
IPC Section 194,"
Giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence
If innocent person be thereby convicted and executed
","Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which is capital by the laws for the time being in force in India shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine;","
Non-Bailable
Non-Bailable
","
Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine
Death or As Above
","
Court of Session
Court of Session
","
Non-Cognizable
Non-Cognizable
"
IPC Section 195,Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards,"Whoever gives or fabricates false evidence intending thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an offence which by the law for the time being in force in India is not capital, but punishable with imprisonment for life, or imprisonment for a term of seven years or upwards, shall be punished as a person convicted of that offence would be liable to be punished.",Bailable,Same As Offence,Court of Session,Non-Cognizable
IPC Section 195A,"
Threatening any person to give false evidence
If innocent person is convicted and sentenced in consequence of false evidence with death, or imprisonment for more than seven Years
","Whoever threatens another with any injury to his person, reputation or property or to the person or reputation of any one in whom that person is interested, with intent to cause that person to give false evidence shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both; and if innocent person is convicted and sentenced in consequence of such false evidence, with death or imprisonment for more than seven years, the person who threatens shall be punished with the same punishment and sentenced in the same manner and to the same extent as such innocent person is punished and sentenced.","
Non-Bailable
Non-Bailable
","
7 Years or Fine or Both
Same As Offence
","
As for False Evidence
As for False Evidence
","
Cognizable
Cognizable
"
IPC Section 196,Using in a judicial proceeding evidence known to be false or fabricated,"Whoever corruptly uses or attempts to use as true or genuine evidence any evidence which he knows to be false or fabricated, shall be punished in the same manner as if he gave or fabricated false evidence.",Same As Offence,As For False Evidence,As for False Evidence,Non-Cognizable
IPC Section 197,Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence,"Whoever issues or signs any certificate required by law to be given or signed, or relating to any fact of which such certificate is by law admissible in evidence, knowing or believing that such certificate is false in any material point, shall be punished in the same manner as if he gave false evidence.",Bailable,As for False Evidence,As for False Evidence,Non-Cognizable
IPC Section 198,Using as a true certificate one known to be false in a material point,"Whoever corruptly uses or attempts to use any such certificate as a true certificate, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence.",Bailable,As for False Evidence,As for False Evidence,Non-Cognizable
IPC Section 199,False statement made in any declaration which by law receivable as evidence,"Whoever, in any declaration made or subscribed by him, which declaration any Court of Justice, or any public servant or other person, is bound or authorized by law to receive as evidence of any fact, makes any statement which is false, and which he either knows or believes to be false or does not believe to be true, touching any point material to the object for which the declaration is made or used, shall be punished in the same manner as if he gave false evidence.",Bailable,As for False Evidence,As for False Evidence,Non-Cognizable
IPC Section 200,Using as true any such declaration known to be false,"Whoever corruptly uses or attempts to use as true any such declaration, knowing the same to be false in any material point, shall be punished in the same manner as if he gave false evidence.",Bailable,As for False Evidence,As for False Evidence,Non-Cognizable
IPC Section 201,"
Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, If a capital offence
If punishable with imprisonment for life or imprisonment for 10 Years
If punishable with imprisonment for less than 10 Years
","Whoever, knowing or having reason to believe that an offence has been committed, causes any evidence of the commission of that offence to disappear, with the intention of screening the offender from legal punishment, or with that intention gives any information respecting the offence which he knows or believes to be false;","
Bailable
Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
One-Fourth of Offence or Fine or Both
","
Court of Session
Magistrate First Class
Same As Offence
","
Non-Cognizable
Non-Cognizable
Non-Cognizable
"
IPC Section 202,Intentional omission to give information of an offence by a person legally bound to inform,"Whoever, knowing or having reason to believe that an offence has been committed, intentionally omits to give any information respecting that offence which he is legally bound to give, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 203,Giving false information respecting an offence committed,"Whoever, knowing or having reason to believe that an offence has been committed, gives any information respecting that offence which he knows or believes to be false, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 204,,,Non-Cognizable,Secreting or destroying any document to prevent its production as evidence,Bailable,2 Years or Fine or Both
IPC Section 205,"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security","Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Bailable,3 Years or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 206,"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture, or in satisfaction of a Fine under sentence, or in execution of a decree","Whoever fraudulently removes, conceals, transfers or delivers to any person any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced, by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 207,"Claiming property without right, or practicing deception touching any right to it, to prevent its being taken as a forfeiture or in satisfaction of a Fine under sentence, or in execution of a decree","Whoever fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right or rightful claim to such property or interest, or practices any deception touching any right to any property or any interest therein, intending thereby to prevent that property or interest therein from being taken as a forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to be likely to be pronounced by a Court of Justice or other competent authority, or from being taken in execution of a decree or order which has been made, or which he knows to be likely to be made by a Court of Justice in a civil suit, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 208,"Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied","Whoever fraudulently causes or suffers a decree or order to be passed against him at the suit of any person for a sum not due or for a larger sum than is due to such person or for any property or interest in property to which such person is not entitled, or fraudulently causes or suffers a decree or order to be executed against him after it has been falsified, or for anything in respect of which it has been satisfied, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 209,False claim in a court of Justice,"Whoever fraudulently or dishonestly, or with intent to injure or annoy any person, makes in a Court of Justice any claim which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine.",Bailable,2 Years + Fine,Magistrate First Class,Non-Cognizable
IPC Section 210,"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied","Whoever fraudulently obtains a decree or order against any person for a sum not due, or for a larger sum than is due or for any property or interest in property to which he is not entitled, or fraudulently causes a decree or order to be executed against any person after it has been satisfied or for anything in respect of which it has been satisfied, or fraudulently suffers or permits any such act to be done in his name, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 211,"
False charge of offence made with intent to injure
If offence charged be punishable with imprisonment for 7 Years or upwards
If offence charged be capital or punishable with imprisonment for life
","Whoever, with intent to cause injury to any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely charges any person with having committed an offence, knowing that there is no just or lawful ground for such proceeding or charge against that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both;","
Bailable
Bailable
Bailable
","
2 Years or Fine or Both
7 Years + Fine
7 Years + Fine
","
Magistrate First Class
Magistrate First Class
Court of Session
","
Non-Cognizable
Non-Cognizable
Non-Cognizable
"
IPC Section 212,"
Harbouring an offender, If the offence be capital
If punishable with imprisonment for life or with imprisonment for 10 Years
If punishable with imprisonment for 1 Year and not for 10 Years
","Whenever an offence has been committed, whoever harbours or conceals a person whom he knows or has reason to believe to be the offender, with the intention of screening him from legal punishment;","
Bailable
Bailable
Bailable
","
5 Years + Fine
3 Years + Fine
One-Fourth of Offence or Fine or Both
","
Magistrate First Class
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
Cognizable
"
IPC Section 213,"
Taking gift, etc., to screen an offender from punishment, If the offence be capital
If punishable with imprisonment for life or with imprisonment for 10 Years
If punishable with imprisonment for less than 10 Years
","Whoever accepts or attempts to obtain, or agrees to accept, any gratification for himself or any other person, or any restitution of property to himself or any other person, in consideration of his concealing an offence or of his screening any person from legal punishment for any offence, or of his not proceeding against any person for the purpose of bringing him to legal punishment;","
Bailable
Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
One-Fourth of Offence or Fine or Both
","
Magistrate First Class
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
Cognizable
"
IPC Section 214,"
Offering gift or restoration of property in consideration of screening offender, If the offence be capital
If punishable with imprisonment for life or with imprisonment for 10 Years
If punishable with imprisonment for less than 10 Years
","Whoever gives or causes, or offers or agrees to give or cause, any gratification to any person, or restores or causes the restoration of any property to any person, in consideration of that person’s concealing an offence, or of his screening any person from legal punishment for any offence, or of his not proceeding against any person for the purpose of bringing him to legal punishment;","
Bailable
Bailable
Bailable
","
7 Years + Fine
3 Years + Fine
One-Fourth of Offence or Fine or Both
","
Magistrate First Class
Magistrate First Class
Magistrate First Class
","
Cognizable
Non-Cognizable
Non-Cognizable
"
IPC Section 215,Taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender,"Whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any movable property of which he shall have been deprived by any offence punishable under this Code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 216,,"Whenever any person convicted of or charged with an offence, being in lawful custody for that offence, escapes from such custody, or whenever a public servant, in the exercise of the lawful powers of such public servant, orders a certain person to be apprehended for an offence, whoever, knowing of such escape or order for apprehension, harbours or conceals that person with the intention of preventing him from being apprehended, shall be punished in the manner following, that is to say:","“Offence” in this section includes also any act or omission of which a person is alleged to have been guilty out of India, which, if he had been guilty of it in India, would have been punishable as an offence, and for which he is, under any law relating to extradition, or otherwise liable to be apprehended or detained in custody in India, and every such act or omission shall, for the purposes of this section, be deemed to be punishable as if the accused person had been guilty of it in India.",,"Whoever, knowing or having reason to believe that any persons are about to commit or have recently committed robbery or dacoity, harbours them or any of them, with the intention of facilitating the commission of such robbery or dacoity or of screening them or any of them from punishment, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",
IPC Section 216A,Harbouring robbers or dacoits,"Whoever, knowing or having reason to believe that any persons are about to commit or have recently committed robbery or dacoity, harbours them or any of them, with the intention of facilitating the commission of such robbery or dacoity or of screening them or any of them from punishment, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",Bailable,Rigorous Imprisonment for 7 Years and Fine,Magistrate First Class,Cognizable
IPC Section 216B,,,,,,
IPC Section 217,"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture","Whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a less punishment than that to which he is liable, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or any charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 218,"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture","Whoever, being a public servant, and being as such public servant, charged with the preparation of any record or other writing, frames that record or writing in a manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or other charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 219,"Public servant in a judicial proceeding corruptly Making and pronouncing an order, report, Verdict, or decision which he knows to be contrary to law","Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial proceeding, any report, order, verdict, or decision which he knows to be contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Bailable,7 Years or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 220,"Commitment for trial or confinement by a person Having authority, who Knows that he is Acting contrary to law","Whoever, being in any office which gives him legal authority to commit persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits any person for trial or to confinement, or keeps any person in confinement, in the exercise of that authority, knowing that in so doing he is acting contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Bailable,7 Years or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 221,"
Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, If the offence be Capital
If punishable with imprisonment for life or imprisonment for 10 Years
If punishable with imprisonment for less than 10 Years
","Whoever, being a pubic servant, legally bound as such public servant to apprehend or to keep in confinement any person charged with or liable to be apprehended for an offence, intentionally omits to apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say:","
Bailable
Bailable
Bailable
","
7 Years with or without Fine
3 Years with or without Fine
2 Years with or without Fine
","
Magistrate First Class
Magistrate First Class
Magistrate First Class
","
Same As Offence
Cognizable
Cognizable
"
IPC Section 222,"
Intentional omission to apprehend on the part of A public servant bound by law to apprehend person under sentence of a court of Justice, If under sentence of death
If under sentence of imprisonment for life or imprisonment for 10 Years, or upwards
If under sentence of imprisonment for less than 10 Years of lawfully committed to custody
","Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person under sentence of a Court of Justice for any offence or lawfully committed to custody, intentionally omits to apprehend such person, or intentionally suffers such person to escape or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say:","
Non-Bailable
Non-Bailable
Bailable
","
Imprisonment for Life or 14 Years with or without Fine
7 Years with or without Fine
3 Years or Fine or Both
","
Court of Session
Magistrate First Class
Magistrate First Class
","
Cognizable
Cognizable
Cognizable
"
IPC Section 223,Escape from confinement negligently suffered by a public servant,"Whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.",Bailable,Simple Imprisonment for 2 Years or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 224,Resistance or obstruction by a person to his lawful apprehension,"Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody in which he is lawfully detained for any such offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 225,"Or, if the person to be apprehended, or the person rescued or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with imprisonment for life or imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;","Whoever intentionally offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence, or rescues or attempts to rescue any other person from any custody in which that person is lawfully detained for an offence, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both;","Or, if the person to be apprehended or rescued, or attempted to be rescued, is under sentence of death, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.","Or, if the person to be apprehended or rescued, or attempted to be rescued, is charged with or liable to be apprehended for an offence punishable with death, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;",,"Or, if the person to be apprehended or rescued, or attempted to be rescued, is liable under the sentence of a Court of Justice, or by virtue of a commutation of such a sentence, to imprisonment for life, or imprisonment, for a term of ten years or upwards, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;"
IPC Section 225A,"
Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance
In case of negligent omission or sufferance
","
if he does so intentionally, with imprisonment of either description for a term which may extend to three years, or with fine or with both; and
if he does so negligently, with simple imprisonment for a term which may extend to two years, or with fine, or with both.
","
Bailable
Bailable
","
3 Years or Fine or Both
Simple Imprisonment for 2 Years or Fine or Both
","
Magistrate First Class
Any Magistrate
","
Non-Cognizable
Non-Cognizable
"
IPC Section 225B,"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for",,Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 226,,,,,,
IPC Section 227,Violation of condition of remission of punishment,"Whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted, shall be punished with the punishment to which he was originally sentenced, if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered.",Non-Bailable,"Original Sentence, minus time already served",Same As Offence,Cognizable
IPC Section 228,Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding,"Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,Simple Imprisonment for 6 Months or Fine or Both,,Non-Cognizable; Cognizable in A.P.
IPC Section 228A,"
by or under the order in writing of the officer-in-charge of the police station or the police officer making the investigation into such offence acting in good faith for the purposes of such investigation;or
by, or with the authorisation in writing of, the victim; or
where the victim is dead or minor or of unsound mind, by, or with the authorisation in writing of, the next-of-kin of the victim:
","
Whoever prints or publishes the name or any matter which may make known the identity of any person against whom an offence under section 376, section 376A, section1 376AB, section 376B, section 376C, section 376D, section 376DA, section 376DB, section 376E is alleged or found to have been committed (hereafter in this section referred to as the victim) shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine.
Nothing in sub-section (1) extends to any printing or publication of the name or any matter which may make known the identity of the victim if such printing or publication is
		
by or under the order in writing of the officer-in-charge of the police station or the police officer making the investigation into such offence acting in good faith for the purposes of such investigation;or
by, or with the authorisation in writing of, the victim; or
where the victim is dead or minor or of unsound mind, by, or with the authorisation in writing of, the next-of-kin of the victim:

","
2 Years + Fine
2 Years + Fine
","
For the purposes of this sub-section, “recognised welfare institution or organisation” means a social welfare institution or organisation recognised in this behalf by the Central or State Government.
Whoever prints or publishes any matter in relation to any proceeding before a court with respect to an offence referred to in sub-section (1) without the previous permission of such court shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine.
The printing or publication of the judgment of any High Court or the Supreme Court does not amount to an offence within the meaning of this section.
","
Cognizable
Cognizable
","
Disclosure of identity of the victim of certain offences, etc.
Printing or publication of a proceeding without prior permission of court
"
IPC Section 229,Personation of a juror or assessor,"Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn, or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Magistrate First Class,Non-Cognizable
IPC Section 229A,Failure by person released on bail or bond to appear in Court,"Whoever, having been charged with an offence and released on bail or on bond without sureties, fails without sufficient cause (the burden of proving which shall lie upon him), to appear in Court in accordance with the terms of the bail or bond, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Non-Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable
IPC Section 230,,,,,,
IPC Section 231,"Counterfeiting, or performing any part of the process of counterfeiting coin","Whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Non-Bailable,7 Years + Fine,Magistrate First Class,Cognizable
IPC Section 232,"Counterfeiting, or performing any part of the process of counterfeiting coin","Whoever counterfeits, or knowingly performs any part of the process of counterfeiting Indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 233,"Making, buying or selling instrument for the purpose of counterfeiting coin","Whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extended to three years, and shall also be liable to fine.",Non-Bailable,3 Years + Fine,Magistrate First Class,Cognizable
IPC Section 234,"Making, buying or selling instrument for the purpose of counterfeiting Indian coin","Whoever makes or mends, or performs any part of the process of making or mending or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting Indian coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Non-Bailable,7 Years + Fine,Court of Session,Cognizable
IPC Section 235,"
Possession of instrument or material for the purpose of using the same for counterfeiting coin
If Indian coin
","Whoever is in possession of any instrument or material, for the purpose of using the same for counterfeiting coin, or knowing or having reason to believe that the same is intended to be used for that purpose, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine;","
Non-Bailable
Non-Bailable
","
3 Years + Fine
10 Years + Fine
","
Magistrate First Class
Court of Session
","
Cognizable
Cognizable
"
IPC Section 236,"Abetting, in India, the counterfeiting, out of India, of coin","Whoever, being within India abets the counterfeiting of coin out of India shall be punished in the same manner as if he abetted the counterfeiting of such coin within India.",Non-Bailable,The punishment provided for abetting the counterfeiting of such coin within India,Magistrate First Class,Cognizable
IPC Section 237,"Import or export of counterfeit coin, knowing the same to be counterfeit","Whoever imports into India, or exports therefrom, any counterfeit coin, knowingly or having reason to believe that the same is counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Non-Bailable,3 Years + Fine,Magistrate First Class,Cognizable
IPC Section 238,"Import or export of counterfeit of Indian coin, knowing the same to be counterfeit","Whoever imports into India, or exports there from, any counterfeit coin, which he knows or has reason to believe to be a counterfeit of Indian coin, shall be punished with Imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 239,"Having any counterfeit coin known to be such when it came into possession, and delivering, etc., the same to any person","Whoever, having any counterfeit coin, which at the time when he became possessed of it, he knew to be counterfeit, fraudulently or with intent that fraud may be committed, delivers the same to any persons or attempts to induce any person to receive it, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine.",Non-Bailable,5 Years + Fine,Magistrate First Class,Cognizable
